 ,Area,Mean,X,Y,Circ.,AR,Round,Solidity
3986,0.182,114.709,173.542,100.362,0.967,1.202,0.832,0.871
3987,0.101,159.538,222.841,100.356,1.000,1.137,0.880,0.968
3988,0.155,111.411,27.043,100.503,1.000,1.473,0.679,0.902
3989,0.357,436.596,236.246,100.609,0.957,1.154,0.866,0.891
3990,0.034,94.499,140.167,100.668,1.000,1.553,0.644,0.909
3991,0.330,296.812,223.338,100.875,0.846,1.548,0.646,0.867
3992,0.054,134.816,204.039,100.799,0.820,1.600,0.625,0.800
3993,0.013,256.409,227.937,100.717,1.000,2.000,0.500,1.000
3994,0.047,213.027,240.696,100.823,1.000,1.069,0.936,0.875
3995,0.013,144.099,198.604,101.004,1.000,2.000,0.500,1.000
3996,0.242,178.746,218.202,101.328,0.923,1.496,0.668,0.878
3997,0.128,143.868,222.606,101.361,0.944,1.499,0.667,0.905
3998,0.094,179.443,75.879,101.333,1.000,1.020,0.981,0.933
3999,0.209,169.803,224.367,101.620,1.000,1.372,0.729,0.939
4000,0.007,161.619,189.496,101.456,1.000,1.000,1.000,1.000
4001,0.054,219.053,240.603,101.938,1.000,1.229,0.814,0.941
4002,0.020,175.768,212.251,101.975,1.000,1.464,0.683,0.857
4003,0.094,191.562,243.421,102.059,0.993,1.264,0.791,0.848
4004,0.114,183.913,218.716,102.146,1.000,1.263,0.792,0.919
4005,0.081,154.595,235.649,102.235,1.000,1.000,1.000,0.857
4006,0.027,141.912,20.431,102.317,1.000,1.000,1.000,1.000
4007,0.007,160.014,183.752,102.358,1.000,1.000,1.000,1.000
4008,0.040,184.301,227.403,102.481,1.000,1.500,0.667,1.000
4009,0.074,171.740,12.811,102.776,1.000,1.372,0.729,0.957
4010,0.316,160.965,89.841,103.027,1.000,1.155,0.866,0.931
4011,0.067,179.191,230.029,103.031,1.000,1.236,0.809,0.909
4012,0.135,178.788,64.771,103.203,1.000,1.165,0.858,0.889
4013,0.114,172.444,232.785,103.188,1.000,1.263,0.792,0.919
4014,0.162,132.381,167.544,103.360,0.978,1.224,0.817,0.842
4015,0.088,202.515,194.236,103.488,1.000,1.370,0.730,0.929
4016,0.047,177.417,194.935,103.507,1.000,1.069,0.936,0.875
4017,0.141,144.649,214.287,103.648,0.856,1.695,0.590,0.792
4018,0.613,119.686,147.431,103.893,0.954,1.278,0.782,0.924
4019,0.162,138.069,215.301,103.671,1.000,1.299,0.770,0.889
4020,0.175,197.158,72.874,104.192,1.000,1.131,0.884,0.881
4021,0.061,152.742,219.946,104.282,1.000,1.817,0.550,0.857
4022,0.101,164.427,211.688,104.382,0.976,1.392,0.718,0.882
4023,0.074,147.488,217.833,104.521,0.976,1.450,0.690,0.815
4024,0.236,110.922,135.872,104.717,0.947,1.165,0.858,0.864
4025,0.215,160.561,223.970,104.961,0.936,1.489,0.672,0.901
4026,0.074,152.228,13.609,104.812,1.000,1.372,0.729,0.957
4027,0.175,114.506,156.376,104.955,1.000,1.131,0.884,0.881
4028,0.040,145.172,213.961,105.052,1.000,1.291,0.775,0.800
4029,0.135,149.718,219.514,105.230,0.965,1.274,0.785,0.833
4030,0.155,127.835,150.736,105.316,0.964,1.063,0.941,0.868
4031,0.465,126.038,141.945,105.770,0.803,1.885,0.531,0.857
4032,0.027,239.039,235.793,105.394,0.857,1.468,0.681,0.800
4033,0.047,118.951,136.573,105.500,1.000,1.069,0.936,0.875
4034,0.175,212.383,63.507,105.804,1.000,1.184,0.845,0.929
4035,0.269,115.457,130.705,106.009,0.887,1.303,0.767,0.833
4036,0.121,192.085,221.373,105.905,1.000,1.218,0.821,0.947
4037,0.074,162.517,228.604,106.058,1.000,1.372,0.729,0.957
4038,0.054,138.023,204.757,106.153,0.914,1.554,0.644,0.800
4039,0.094,198.855,234.583,106.361,0.911,1.471,0.680,0.848
4040,0.525,172.056,79.056,106.729,0.829,1.589,0.629,0.881
4041,0.108,232.685,239.962,106.471,1.000,1.317,0.759,0.821
4042,0.027,124.956,148.348,106.502,1.000,1.000,1.000,1.000
4043,0.229,178.896,231.636,106.716,0.994,1.142,0.875,0.907
4044,0.168,179.460,227.715,106.946,0.954,1.523,0.657,0.862
4045,0.027,149.020,18.215,106.830,1.000,1.000,1.000,1.000
4046,0.141,164.929,212.494,107.012,0.943,1.238,0.808,0.840
4047,0.155,198.609,88.406,107.039,0.964,1.200,0.833,0.885
4048,0.040,149.927,209.188,106.994,1.000,1.500,0.667,1.000
4049,0.195,147.246,215.164,107.213,0.977,1.102,0.907,0.906
4050,0.148,102.794,172.027,107.274,1.000,1.101,0.908,0.936
4051,0.175,195.868,232.320,107.366,0.993,1.537,0.650,0.881
4052,0.027,156.733,36.430,107.240,1.000,1.000,1.000,1.000
4053,0.034,199.273,235.789,107.232,1.000,1.553,0.644,0.909
4054,0.411,274.895,230.033,107.714,1.000,1.158,0.863,0.931
4055,0.168,129.924,138.825,107.708,1.000,1.312,0.762,0.926
4056,0.276,315.685,245.384,107.868,1.000,1.006,0.994,0.921
4057,0.296,137.453,139.544,107.971,0.930,1.424,0.702,0.871
4058,0.168,238.779,241.995,107.879,0.954,1.043,0.959,0.847
4059,0.135,190.835,218.173,108.061,1.000,1.435,0.697,0.909
4060,0.209,207.872,226.760,108.073,1.000,1.230,0.813,0.873
4061,0.175,209.635,67.004,108.209,1.000,1.147,0.872,0.929
4062,0.067,194.933,221.044,108.184,1.000,1.551,0.645,0.909
4063,0.155,165.968,216.030,108.348,0.964,1.608,0.622,0.902
4064,0.162,341.159,242.265,108.348,1.000,1.210,0.827,0.906
4065,0.061,172.422,236.812,108.357,1.000,1.340,0.746,0.857
4066,0.054,167.489,203.598,108.604,1.000,1.229,0.814,0.941
4067,0.081,157.053,213.229,108.806,1.000,1.281,0.780,0.857
4068,0.458,182.339,58.824,109.219,0.926,1.263,0.792,0.907
4069,0.121,147.754,185.516,109.086,0.935,1.085,0.922,0.818
4070,0.121,158.140,190.895,109.095,1.000,1.197,0.835,0.837
4071,0.081,156.766,212.593,109.004,1.000,1.333,0.750,1.000
4072,0.027,179.936,197.414,109.209,1.000,1.000,1.000,1.000
4073,0.182,165.450,233.545,109.354,1.000,1.475,0.678,0.885
4074,0.121,136.850,133.332,109.415,0.935,1.085,0.922,0.818
4075,0.195,287.128,241.454,109.528,0.898,1.723,0.580,0.853
4076,0.182,185.790,232.168,109.755,1.000,1.632,0.613,0.900
4077,0.061,118.714,184.245,109.825,1.000,1.000,1.000,1.000
4078,0.229,205.151,224.001,110.443,0.919,1.373,0.728,0.850
4079,0.121,141.847,212.461,110.477,1.000,1.257,0.795,0.857
4080,0.054,196.516,242.326,110.553,1.000,1.229,0.814,0.941
4081,0.027,135.238,115.199,110.686,1.000,1.000,1.000,1.000
4082,0.061,163.679,199.834,110.727,1.000,1.000,1.000,1.000
4083,0.094,182.276,39.630,110.868,1.000,1.125,0.889,0.933
4084,0.094,196.956,234.975,110.850,1.000,1.020,0.981,0.933
4085,0.189,194.064,87.879,111.003,1.000,1.145,0.873,0.889
4086,0.047,171.452,109.250,110.973,1.000,1.596,0.626,0.875
4087,0.189,182.900,238.222,111.404,0.920,1.202,0.832,0.836
4088,0.209,179.729,42.689,111.482,0.960,1.112,0.899,0.873
4089,0.141,130.480,16.221,111.880,1.000,1.182,0.846,0.913
4090,0.283,93.875,22.072,111.917,0.971,1.474,0.678,0.955
4091,1.340,118.712,122.247,112.376,0.918,1.133,0.883,0.917
4092,0.088,149.975,201.059,111.933,1.000,1.145,0.874,0.812
4093,0.162,201.504,233.680,112.245,1.000,1.000,1.000,0.857
4094,0.067,174.820,196.290,112.327,1.000,1.327,0.753,0.909
4095,0.054,175.357,209.875,112.297,0.820,1.767,0.566,0.842
4096,0.034,215.471,77.595,112.401,1.000,1.553,0.644,0.909
4097,0.276,209.942,219.593,112.743,0.884,1.918,0.521,0.921
4098,0.485,195.848,239.178,112.697,0.980,1.138,0.879,0.911
4099,0.081,159.880,208.696,112.573,1.000,1.333,0.750,1.000
4100,0.148,217.823,218.124,112.786,1.000,1.101,0.908,0.936
4101,1.030,182.334,90.504,113.447,0.857,1.371,0.730,0.884
4102,0.081,151.568,193.345,113.203,0.967,1.579,0.633,0.889
4103,0.135,179.859,214.747,113.144,0.994,1.403,0.713,0.909
4104,0.148,176.067,224.688,113.196,1.000,1.101,0.908,0.936
4105,0.411,154.186,204.343,113.443,0.898,1.287,0.777,0.884
4106,0.108,210.365,221.578,113.394,1.000,1.209,0.827,0.889
4107,0.074,166.385,111.309,113.651,1.000,1.372,0.729,0.957
4108,0.027,244.286,216.532,113.640,1.000,1.000,1.000,1.000
4109,0.067,143.809,240.351,113.804,1.000,1.327,0.753,0.909
4110,0.034,221.144,218.690,113.878,1.000,1.553,0.644,0.909
4111,0.512,124.787,185.493,114.545,0.911,1.208,0.827,0.916
4112,0.081,166.143,226.091,114.297,1.000,1.333,0.750,1.000
4113,0.074,191.128,220.951,114.591,1.000,1.372,0.729,0.957
4114,0.168,171.823,203.783,114.813,0.954,1.313,0.761,0.877
4115,0.269,205.057,200.064,114.924,0.973,1.082,0.925,0.909
4116,0.209,178.910,54.097,115.034,1.000,1.308,0.765,0.873
4117,0.007,148.373,211.814,114.830,1.000,1.000,1.000,1.000
4118,0.101,164.862,229.132,115.098,1.000,1.435,0.697,0.882
4119,0.498,178.016,54.555,115.557,0.874,1.343,0.745,0.886
4120,0.040,140.995,202.255,115.404,1.000,1.500,0.667,1.000
4121,0.101,208.642,213.860,115.738,0.942,1.227,0.815,0.789
4122,0.061,222.111,234.323,115.650,1.000,1.542,0.648,0.857
4123,0.088,175.608,227.485,115.732,1.000,1.735,0.576,0.929
